Date,Open,High,Low,Close,Volume,Spread
2022-02-11,1.35489,1.36094,1.35136,1.35557,128085,10
2022-02-14,1.35684,1.35715,1.34948,1.35319,124317,10
2022-02-15,1.35318,1.35666,1.34862,1.35401,102872,10
2022-02-16,1.354,1.36009,1.35383,1.35815,84807,10
2022-02-17,1.35811,1.36378,1.35549,1.36141,112596,9
2022-02-18,1.36139,1.36425,1.35727,1.35839,96181,10
2022-02-21,1.35909,1.36381,1.35814,1.35945,91335,9
2022-02-22,1.35945,1.36047,1.35381,1.35878,105407,11
2022-02-23,1.35878,1.36203,1.35355,1.35445,87481,11
2022-02-24,1.35444,1.35463,1.32726,1.33711,203227,11
2022-02-25,1.33712,1.34386,1.33665,1.34054,136504,10
2022-02-28,1.33712,1.34314,1.33412,1.34216,151664,13
2022-03-01,1.34214,1.3437,1.33019,1.33348,121409,11
2022-03-02,1.33346,1.34073,1.32711,1.33963,145124,13
2022-03-03,1.33957,1.34176,1.33173,1.335,111803,11
2022-03-04,1.33497,1.33519,1.32019,1.32249,131899,12
2022-03-07,1.32112,1.32281,1.31015,1.31127,194595,14
2022-03-08,1.31129,1.31444,1.30817,1.30981,182492,13
2022-03-09,1.3098,1.31896,1.30977,1.31843,120384,10
2022-03-10,1.31843,1.31945,1.3081,1.31018,149353,12
2022-03-11,1.31019,1.31246,1.30271,1.30343,132478,12
2022-03-14,1.30491,1.3079,1.30005,1.30095,106121,11
2022-03-15,1.30094,1.30883,1.3,1.30437,123653,10
2022-03-16,1.30436,1.31564,1.30356,1.31397,140235,11
2022-03-17,1.31399,1.32106,1.30874,1.31582,113586,10
2022-03-18,1.31587,1.31967,1.31105,1.31758,93747,12
2022-03-21,1.31589,1.321,1.31265,1.31687,95321,12
2022-03-22,1.31685,1.32735,1.31198,1.32656,123596,8
2022-03-23,1.32658,1.32984,1.31749,1.32049,96357,8
2022-03-24,1.3205,1.32139,1.31567,1.31936,109121,11
2022-03-25,1.31937,1.32246,1.3159,1.31787,114671,9
2022-03-28,1.31726,1.31764,1.30665,1.30986,117198,9
2022-03-29,1.30985,1.31592,1.30506,1.30924,172031,11
2022-03-30,1.30925,1.31823,1.30881,1.31369,137494,9
2022-03-31,1.31369,1.31754,1.3106,1.31451,157200,11
2022-04-01,1.3145,1.31467,1.30862,1.31112,100925,10
2022-04-04,1.31042,1.31367,1.30927,1.31123,99951,10
2022-04-05,1.31122,1.31666,1.30665,1.30763,116403,9
2022-04-06,1.30764,1.31078,1.30452,1.30688,120303,9
2022-04-07,1.30689,1.31063,1.30516,1.30684,103667,10
2022-04-08,1.30684,1.30769,1.29816,1.30305,82329,12
2022-04-11,1.30294,1.30566,1.29885,1.30223,106033,11
2022-04-12,1.30224,1.30535,1.29937,1.30014,114772,10
2022-04-13,1.30015,1.31229,1.29728,1.31182,95883,10
2022-04-14,1.31184,1.31471,1.30332,1.30639,134968,10
2022-04-15,1.30638,1.3074,1.30435,1.30538,213557,114
2022-04-18,1.30566,1.30576,1.30007,1.30073,73724,9
2022-04-19,1.30077,1.30405,1.29804,1.30135,97620,10
2022-04-20,1.30135,1.30734,1.29961,1.30678,111210,10
2022-04-21,1.30676,1.30899,1.30221,1.30241,103951,11
2022-04-22,1.30242,1.30327,1.28225,1.28343,104164,10
2022-04-25,1.28277,1.28295,1.26971,1.27371,175506,11
2022-04-26,1.2737,1.27722,1.25597,1.25811,122484,11
2022-04-27,1.2581,1.26015,1.25024,1.25393,132341,11
2022-04-28,1.25392,1.25695,1.24108,1.24644,143056,7
2022-04-29,1.24644,1.26143,1.24644,1.25671,126489,11
2022-05-02,1.257,1.2597,1.24725,1.24991,112692,11
2022-05-03,1.24991,1.25669,1.24702,1.24981,124016,7
2022-05-04,1.24979,1.26378,1.24512,1.26161,151019,12
2022-05-05,1.26161,1.26327,1.23247,1.2362,175421,11
